course_name,category,sub_category,course_website,duration,duration_term,study_mode,degree_level,monthly_intake,intake_day,intake_month,apply_day,apply_month,city,domestic_only,international_fee,domestic_fee,fee_term,fee_year,currency,study_load,ielts_listening,ielts_speaking,ielts_writing,ielts_reading,ielts_overall,pte_listening,pte_speaking,pte_writing,pte_reading,pte_overall,toefl_listening,toefl_speaking,toefl_writing,toefl_reading,toefl_overall,english_test,reading,listening,speaking,writing,overall,academic_level,academic_score,score_type,academic_country,other_test,score,other_requirements,course_description,course_structure,career,scholarship
Wellness Promotion - MA,,,"https://www.moreheadstate.edu/College-of-Science/Kinesiology,-Health,-and-Imaging-Sciences/Academic-Programs/Wellness-Promotion-MA",,,,,,,,,,,False,"6,778","4,485",Semester,2020,$,,,,,,5.0,,,,,,,,,,61,,,,,,,,,,,,,,"The Master of Arts in Wellness Promotion program integrates the specialized skills of exercise testing and prescription and program planning for health promotion. Graduates will be effective leaders in health promotion and exercise prescription for any organization that wants to improve the health of its community including worksite wellness programs, university recreation/wellness centers, health departments, YMCAs and other community-based wellness facilities, hospitals, clinics, commercial fitness, community health agencies and wellness websites.",,"Graduates of this program pursue careers in school systems, health care professions, prevention, health education, wellness coordination, YMCAs, Boys' and Girls' Clubs, and more.",
Veterinary Technology,,,https://www.moreheadstate.edu/College-of-Science/Agricultural-Sciences/Academic-Programs/Veterinary-Technology,,,,,,,,,,,False,"6,778","4,485",Semester,2020,$,,,,,,5.0,,,,,,,,,,61,,,,,,,,,,,,,,"Morehead State University's  Bachelor of Science in Veterinary Technology gives you the knowledge and practical experience to set you on the path for a successful, rewarding career providing support services for veterinarians. You'll gain hands-on experience at MSU working with live patients at the Small Animal Teaching Hospital and the Equine Health and Education Center, located at the Derrickson Agricultural Complex.",,"Veterinary Technology is a paraprofessional field that provides support services to the veterinary profession. Any activity involving animal care is a potential employment opportunity. Some of these opportunities include positions in private veterinary practices, government regulatory agencies and humane associations, or in the areas of zoo/wildlife management, biomedical research, and academics.",
Veterinary Science,,,https://www.moreheadstate.edu/College-of-Science/Agricultural-Sciences/Academic-Programs/Veterinary-Science,,,,,,,,,,,False,"6,778","4,485",Semester,2020,$,,,,,,5.0,,,,,,,,,,61,,,,,,,,,,,,,,"The Bachelor of Science in Veterinary Science at MSU will give you the skills you need to prepare for veterinary school. Through a combination of biology, chemistry, agriculture and other classes, you'll receive a well-rounded education that prepares you for a career as a large or small animal veterinarian, as well as para-professional careers in government regulatory medicine and research and development.","[        Unnamed: 0      FIRST YEAR COURSE SCHEDULE          Unnamed: 1 Unnamed: 2
0   Fall Semester  Code Credits  Spring Semester                Code    Credits
1          AGR 133                     R 3 AGR 143                   R          3
2  MATH 174 or 175             G 3-4 BIOL 210/210L                   R          4
3    BIOL 171/171L             G,R 4 CHEM 111/111L                 G,R          4
4          FYS 101                     G 3 ENG 100                   G          3
5            HUM 1                       G 3 SBS 1                   G          3
6              NaN        Total Credit Hours 16-17  Total Credit Hours         17,   Unnamed: 0        Unnamed: 1     SECOND YEAR COURSE SCHEDULE          Unnamed: 2 Unnamed: 3
0               Fall Semester  Code Credits  Spring Semester                Code    Credits
1        NaN  General Elective                E 3 AGR 243/243L                   R          3
2        NaN     BIOL 304/304L             R,U 3 CHEM 326/326L                 R,U          4
3        NaN     CHEM 112/112L            R 4 Science Elective                 E,U          3
4        NaN             HUM 2                       G 3 SBS 2                   G          3
5        NaN           ENG 200                    G 3 COMS 108                   G          3
6        NaN               NaN           Total Credit Hours 16  Total Credit Hours         16,   Unnamed: 0        Unnamed: 1      THIRD YEAR COURSE SCHEDULE          Unnamed: 2 Unnamed: 3
0               Fall Semester  Code Credits  Spring Semester                Code    Credits
1        NaN      AGR 316/316L             R,U 3 BIOL 301/301L                 R,U          4
2        NaN     CHEM 327/327L             R,U 4 BIOL 380/380L                 R,U          3
3        NaN     PHYS 201/201A            R 4 Science Elective                 E,U          3
4        NaN  General Elective            E 3 General Elective                   E          3
5        NaN               NaN           Total Credit Hours 14  Total Credit Hours         13,   Unnamed: 0        Unnamed: 1     FOURTH YEAR COURSE SCHEDULE          Unnamed: 2 Unnamed: 3
0               Fall Semester  Code Credits  Spring Semester                Code    Credits
1        NaN     BIOL 317/317L         R,U 4 AGR 499C/VET 499C                 G,U          3
2        NaN  Science Elective          E,U 3 Science Elective                 E,U          3
3        NaN  Science Elective          E,U 3 Science Elective                 E,U          3
4        NaN  General Elective            E 3 General Elective                   E          3
5        NaN  General Elective                             E 3                 NaN        NaN
6        NaN               NaN           Total Credit Hours 16  Total Credit Hours         12]",*Completion of this degree option does not guarantee admission to a CVM.,
University Studies,,,"https://www.moreheadstate.edu/Caudill-College-of-Arts,-Humanities-and-Social-Sci/Academic-Programs/University-Studies",,,,,,,,,,,False,"6,778","4,485",Semester,2020,$,,,,,,5.0,,,,,,,,,,61,,,,,,,,,,,,,,Morehead State's University Studies degree provides you with a strong liberal arts core and can serve as a springboard for further study or a career in higher education.,,Many of our University Studies graduates go on to pursue careers in Higher Education and non-profit work.,
Criminology and Criminal Justice,,,"https://www.moreheadstate.edu/Caudill-College-of-Arts,-Humanities-and-Social-Sci/Sociology,-Social-Work-and-Criminology/Academic-Programs/Criminology-and-Criminal-Justice",,,,,,,,,,,False,"6,778","4,485",Semester,2020,$,,,,,,5.0,,,,,,,,,,61,,,,,,,,,,,,,,"MSU's criminology and criminal justice program focuses on understanding the causes of crime. You will explore topics like problem-solving in the courts, drug and mental health treatment, and innovations in theoretical and empirical work in the study of etiology, prevention and treatment of crime.",,"Criminology is a growing field with numerous employment opportunities at local, state and federal levels, including:",
Early Childhood Education,,,"https://www.moreheadstate.edu/College-of-Education/Early-Childhood,-Elementary-and-Special-Education/Academic-Programs/Early-Childhood-Education",,,,,,,,,,,False,"6,778","4,485",Semester,2020,$,,,,,,5.0,,,,,,,,,,61,,,,,,,,,,,,,,"The Bachelor of Arts Area in Interdisciplinary Early Childhood Education at MSU leads to certification for teachers working with young children from birth through kindergarten. Courses focus on understanding child development and effective intervention with young children, as well as how to build relationships and collaborate with families and community agencies.","[   Unnamed: 0                                  Unnamed: 1                       FIRST YEAR COURSE SCHEDULE Unnamed: 2 Unnamed: 3
0                                          Fall Semester                   Code Credits  Spring Semester       Code    Credits
1           F                  FYS 101-First Year Seminar             G 3 EDF 207 Foundations of Education         p*          3
2           F                      ENG 100-CORE-Writing I      G/p 3 F SBS 2: PSY 154**, AGR 185, APS 201,        G/E          3
3         NaN                                         NaN             ECON 101, ETM 200, FIN 160, GEO 100,        NaN        NaN
4         NaN                                         NaN             GST 273, HLTH 151, HON 210, IST 101,        NaN        NaN
5         NaN                                         NaN                      POLS 100, RAPP 203, SOC 101        NaN        NaN
6           F               COMS 108-CORE Fund. Of Speech          G 3 F NSC 1: BIOL 110 & 110L Biol. Sci.          G          3
7           F  ESS 112 Earth & Space Sci. for Teachers or                3 F MATH 131, MATH 135, MATH 152,        G/E          3
8         NaN        SCI 111 Inq. Phys. Sci. for Teachers                            MATH 174, or MATH 175        NaN        NaN
9           F       HUM 1 Elective: ART 160, ART 263, CVM  G/E 3 F SBS 1 Elective:  COMS 250, ETM 101, FIN        G/E          3
10        NaN         210, ENG 120, IST/ENG 211, FLM 170,             264, HST 105, HUM 250, MKT 200, MNGT        NaN        NaN
11        NaN           HON 205, HUM 203,  MUSH 261, MUSH           101, LGS 200, POLS 140, POLS 177, POLS        NaN        NaN
12        NaN        270, PHIL 100, PHIL 103, or THEA 110                        262, RAPP 101, or SOC 203        NaN        NaN
13        NaN                          Total Credit Hours                            15 Total Credit Hours        NaN         15,    Unnamed: 0                                Unnamed: 1                  SECOND YEAR COURSE SCHEDULE Unnamed: 2 Unnamed: 3
0                                        Fall Semester               Code Credits  Spring Semester       Code    Credits
1           F                        ART 121 School Art        p* 3 EDSP 230 Educ. of Except. Child.         p*          3
2         NaN                   ENG 200-CORE-Writing II   P/G 3 EDEE 305 Learning Theories/Practices     P/p/U*          3
3         NaN         EDEC 254 Preschool Administration   p* 3 IECE 311 Intro to Early Childhood Ed.       P/p*          3
4         NaN    EDEC 253 Child Growth & Dev. (EDF 211)        p* 3 IECE 361 Positive Child Guidance       P/p*          3
5           F                                       NaN  G/E 3 F NSC 2 Elective: ASTR 105, ASTR 112,        G/E          3
6         NaN    HUM 2 Elective: COMS 290, ENG 205, FRN                                          NaN        NaN        NaN
7         NaN                                       NaN         CHEM 104, ESS 102, GEO 103, GEO 245,        NaN        NaN
8         NaN  101, GER 101, HST 110, HST 111, IST 250,                                          NaN        NaN        NaN
9         NaN                                       NaN       HON 215,  PHYS 109, RAPP 202, SCI 104,        NaN        NaN
10        NaN             PHIL 106, POLS 110 or SPA 101                                          NaN        NaN        NaN
11        NaN                                       NaN                      or ETM/PHYS/SSE/SCI 123        NaN        NaN
12        NaN                        Total Credit Hours                        15 Total Credit Hours        NaN         15,    Unnamed: 0                             Unnamed: 1                     THIRD YEAR COURSE SCHEDULE Unnamed: 2 Unnamed: 3
0                                     Fall Semester                 Code Credits  Spring Semester       Code    Credits
1         NaN   IECE 360 Role of Family in Early Ch.  P/U/p* 3 IECE 301  At Risk Infants & Toddlers     P/U/p*          3
2         NaN    EDSP 350 Characteristics of MR & OH          3 IECE 418 Preschool Program Planning     P/U/p*          3
3         NaN                                    NaN                                         P/U/p*        NaN        NaN
4         NaN        IECE 416 Infant/Toddler Program         P/U/p* 3 EDSP 363 Assistive Technology        NaN          3
5         NaN                               Planning                                            NaN     P/U/p*        NaN
6         NaN  EDEC 255 Assessment of Young Children  P/p* 3 EDSP 370 Transdisciplinary Assess./MSD     P/U/p*          3
7         NaN     EDEE 327 Lit. & Mat. Young Readers      P/U/p* 3 EDSP 371 Field Exp. For EDSP 370     P/U/p*          1
8         NaN                                    NaN               EDEC 412 Kindergarten Curriculum     P/U/p*          3
9         NaN                                    NaN                                            NaN        NaN        NaN
10        NaN                     Total Credit Hours                          15 Total Credit Hours        NaN         16,   Unnamed: 0                           Unnamed: 1           FOURTH YEAR COURSE SCHEDULE Unnamed: 2 Unnamed: 3
0                                  Fall Semester        Code Credits  Spring Semester       Code    Credits
1        NaN      EDSP 320 Intro. To Corr. Speech  P/U/p* 3 IECE 425 Clinical. Practice       P/U*         12
2        NaN     HLTH 301 Health/Safety/Nutrition         U* 3 EDEM 499C Senior Seminar      G/U/P          3
3        NaN    SWK 315 Child Welfare Services or                                   U 3        NaN        NaN
4        NaN      SWK 358 Child Abuse and Neglect                                   NaN        NaN        NaN
5        NaN  IECE 345 Preschoolers w/Spec. Needs                              P/U/p* 3        NaN        NaN
6          F    MUSE 222 Music for Elem. Teachers                                  p* 3        NaN        NaN
7        NaN                                  NaN                                   NaN        NaN        NaN
8        NaN                   Total Credit Hours                 15 Total Credit Hours        NaN         15]","Graduates of the program are prepared for education careers in public and private schools for young children, birth through kindergarten.",
Director of Special Education,,,https://www.moreheadstate.edu/College-of-Education/Foundational-and-Graduate-Studies-in-Education/Academic-Programs/study-director-special-ed,,,,,,,,,,,False,"6,778","4,485",Semester,2020,$,,,,,,5.0,,,,,,,,,,61,,,,,,,,,,,,,,"MSU’s Director of Special Education certification will prepare you to be an effective administrator of public school special education programs. The certification requires 21 credit-hours, is offered completely online and meets the requirements of the Education Professional Standards Board. ",,: Must have completed 12 of the 15 Level 2 hours listed above before enrolling in practicum listed above.,
Child Development,,,"https://www.moreheadstate.edu/College-of-Education/Early-Childhood,-Elementary-and-Special-Education/Academic-Programs/Child-Development",,,,,,,,,,,False,"6,778","4,485",Semester,2020,$,,,,,,5.0,,,,,,,,,,61,,,,,,,,,,,,,,MSU's Bachelor of Arts (BA) in Child Development is a non-teaching area of concentration for students interested in studying the stages of child development and factors that impact the development of children. The BA in Child Development will prepare you for a career working in or managing private child care and day care programs. You will gain knowledge of developmentally appropriate practices and will prepare instruction and learning environments for children with and without disabilities. Graduates of our program are equipped to design early childhood programs that follow state child care regulations and are able to articulate child development management strategies.,,Child development programs will prepare you for a career working in or managing private child care and day care programs.,
Theatre,,,"https://www.moreheadstate.edu/Caudill-College-of-Arts,-Humanities-and-Social-Sci/mtd/Academic-Programs/Theatre",,,,,,,,,,,False,"6,778","4,485",Semester,2020,$,,,,,,5.0,,,,,,,,,,61,,,,,,,,,,,,,,"MSU is the only public university in Kentucky to offer a theatre program with teaching certification. You will gain hands-on experiences in all areas of production. Whether you want to be center stage or prefer working behind the scenes, there is a place for you at MSU.",,"Our alumni are successful on Broadway, in professional theatre companies, television and film. Others are continuing their study at esteemed schools like the National Shakespeare Conservatory and the American Academy of Dramatic Arts. Many of our graduates pursue a wide range of careers in the following:",
Doctor of Education (Ed.D.),,,https://www.moreheadstate.edu/College-of-Education/Foundational-and-Graduate-Studies-in-Education/Academic-Programs/Doctor-of-Education-(Ed-D-),,,,,,,,,,,False,"6,778","4,485",Semester,2020,$,,,,,,5.0,,,,,,,,,,61,,,,,,,,,,,,,,"The MSU Doctor of Education (Ed.D.) is designed to meet the distinctive needs of P-16 practitioner-leaders by addressing the call put forth by the Southern Regional Education Board and others to ensure that there are quality leaders in every school, from preschool to higher education.",,"Individuals completing the EdD program at MSU will have the potential for a variety of job opportunities. Job opportunities for candidates in the Administrative Leadership track include principal, Director of Pupil Personnel, instructional supervisor, and superintendent. Opportunities for candidates in the Educational Technology Leadership track include educational curriculum, professional development, educational software companies and distance learning coordination. Opportunities for candidates in the Adult and Higher Education Leadership track include working with adults to further their education as well as career opportunities in post-secondary education.",
