course_name,category,sub_category,course_website,duration,duration_term,study_mode,degree_level,monthly_intake,intake_day,intake_month,apply_day,apply_month,city,domestic_only,international_fee,domestic_fee,fee_term,fee_year,currency,study_load,ielts_listening,ielts_speaking,ielts_writing,ielts_reading,ielts_overall,pte_listening,pte_speaking,pte_writing,pte_reading,pte_overall,toefl_listening,toefl_speaking,toefl_writing,toefl_reading,toefl_overall,english_test,reading,listening,speaking,writing,overall,academic_level,academic_score,score_type,academic_country,other_test,score,other_requirements,course_description,course_structure,career,scholarship
"Bachelor of Arts,Interdisciplinary Studies in Social Science: Social Science Education - Bachelor of Arts",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=7685,,,,Undergraduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,"The Interdisciplinary Studies in Social Science: Social Science Education program is a comprehensive teaching major leading to the Bachelor of Arts degree in the College of Social Science. It is available for teacher certification and is only available to students pursuing teacher certification. Students who complete the requirements for this major and the requirements for teacher certification are recommended for a secondary teaching certificate in social studies. Persons with teacher certification in social studies are qualified to teach history, political science, geography, and economics.","[<Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n\t<li>The University requirement...'>]",,
"Bachelor of Arts,Journalism",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=1405,,,,Undergraduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,":  see the , section of this catalog for courses in Journalism appropriate to this major.,:  see the , section of this catalog for courses appropriate to this major.","[<Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n\t<li>The University requirement...'>]",,
"Bachelor of Arts,International Relations Major",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=3188,,,,Undergraduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,,,,
"Bachelor of Science,Integrative Biology - Bachelor of Science",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=7132,,,,Undergraduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,,"[<Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n\t<li>The University requirement...'>]",,
"Bachelor of Arts,Information Science",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=6380,,,,Undergraduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,,"[<Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n\t<li>The University requirement...'>]",,
"Bachelor of Arts,Humanities - Prelaw Program",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=0607,,,,Undergraduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,"The Bachelor of Arts degree in Humanities—Prelaw is derived from the triad version of the Bachelor of Arts degree program in interdisciplinary humanities. In the prelaw program, one emphasis area consists of course work selected from an approved list of  relevant courses in a variety of disciplines both within and outside the College of Arts and Letters. At least one of the other two emphasis areas must be a discipline within the College of Arts and Letters.  The remaining emphasis area may be within the College of Arts and Letters.,Students with majors in departments within the College of Arts and Letters may add a prelaw component to their education by completing a cognate comprised of course work from the approved list of courses in item 3. a. (1) (c) below.,A discipline is associated with a departmental major or minor.,If the student selects a foreign language as a discipline, the courses must be at the 300–400 level or above","[<Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n\t<li>The University requirement...'>]",,
"Bachelor of Arts,Japanese",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=5709,,,,Undergraduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,"The Bachelor of Arts degree in Japanese is designed to equip students with functional proficiency in the language, and cultural sensitivity to and factual knowledge about Japan. Study abroad is encouraged to provide students with firsthand experience of cultures superficially different from those to which they are accustomed, but are similar in many ways at the level of human interaction.,Students who plan to complete the requirements for the major should consult an undergraduate advisor in Japanese.","[<Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n\t<li>The University requirement...'>]",,
"Bachelor of Arts,Interdisciplinary Humanities, Program in",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=0987,,,,Undergraduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,"The Interdisciplinary Humanities major is ideal for students who seek a broad liberal education with an emphasis on the disciplines represented by the departments and school of the College of Arts and Letters. It offers study in several fields of knowledge which have a close intellectual relationship and illuminate each other.,The Interdisciplinary Humanities program is a good choice for students planning to study the law or general business.  Many students also use this major to help prepare for graduate study or human services and government work.  A student majoring in Interdisciplinary Humanities cannot obtain a teaching certificate without taking additional work beyond degree requirements.,The Interdisciplinary Humanities major offers unusual flexibility in the choice of areas of concentration.  The program is most suitable for self–disciplined students with clearly defined  academic objectives.  The one basic criterion is that the student's education shall have intellectual coherence.  There are two ways of organizing the major.  Both require the completion of 6 credits of course work in quantitative reasoning and a concentration of courses to form the major:,:  The major consists of courses in three selected departments or programs.  All of the departments or programs may be within the College of Arts and Letters, or two may be from the College of Arts and Letters and one from another college.  With the flexibility of this program the student may pursue studies in related disciplines.  The requirements for the major are satisfied by a total of 50 to 64 credits from three designated departments or programs with a minimum of 15 credits in each. The student must also fulfill the 6 credit requirement in quantitative reasoning referenced in item 3.b. below.,:  The major consists of courses in one department in the College of Arts and Letters, with a minimum of 15 credits at the 300 and 400 levels.  This concentration provides a core; the remainder of the major may be selected from related interdepartmental combinations with a minimum of 20 additional credits in the College of Arts and Letters to bring the total to between 50 and 64 credits.  The student must also fulfill the 6 credit requirement in quantitative reasoning referenced in item 3.b. below.,An emphasis area is associated with a departmental major or minor.,If the student selects a foreign language as an emphasis area, the courses must be at the 300–400 level or above., ","[<Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n\t<li>The University requirement...'>]",,
"Bachelor of Arts,Interdisciplinary Studies in Social Science - Bachelor of Arts or Bachelor of Science",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=4567,,,,Undergraduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,"Students must select one of three concentrations:,. Explores issues and problems related to community organizations, political or social advocacy, governance, private-public sector partnerships, philanthropy, and other local, state, or regional matters. Course offerings deal with physical development, social interaction, race and ethnicity, family, gender, economics, and politics as they relate to challenges of community life.,.  Examines the social, behavioral, and economic determinants of health. Students will gain the knowledge and skills to improve population health. Students may select from courses in health psychology, anthropology of alternative medicine, or the sociology of health care systems.,. Students will create an individual sequence of course work designed to accomplish study in interdisciplinary studies in social science.",,,
"Bachelor of Science,Interdisciplinary Studies in Social Science - Bachelor of Arts or Bachelor of Science",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=4568,,,,Undergraduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,"Students must select one of three concentrations:,. Explores issues and problems related to community organizations, political or social advocacy, governance, private-public sector partnerships, philanthropy, and other local, state, or regional matters. Course offerings deal with physical development, social interaction, race and ethnicity, family, gender, economics, and politics as they relate to challenges of community life.,.  Examines the social, behavioral, and economic determinants of health. Students will gain the knowledge and skills to improve population health. Students may select from courses in health psychology, anthropology of alternative medicine, or the sociology of health care systems.,. Students will create an individual sequence of course work designed to accomplish study in interdisciplinary studies in social science.",,,
"Bachelor of Music,Jazz Studies",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=7319,,,,Undergraduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,"The Bachelor of Music in Jazz Studies is a professional degree program. It includes the common core courses of all other Bachelor of Music degree programs and the shared objectives of musical literacy, development of aural skills, understanding of a broad repertoire, and attainment of analytical skills. Uniquely, this program seeks to develop a high level of competency in jazz performance, and in compositional, scoring, and arranging skills. It also strives to prepare individuals to understand the literature and historical and cultural context of jazz.","[<Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n\t<li>The University requirement...'>]",,
"Bachelor of Arts,Human Development and Family Studies - Bachelor of Arts",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=7712,,,,Undergraduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,"Graduates will be committed to improving the health and well-being of diverse individuals and families across the lifespan through research, teaching, and professional practice. Recognizing, understanding and addressing the central role of diversity and interdependence among families and communities is a core value of graduates. Students gain knowledge of basic research and the application of research to improving the lives of individuals in the context of the family, the community, and policy. Practical experience in real-world settings is incorporated into the degree program.  Students are prepared to work in community and governmental agencies and organizations that provide human services within changing societies and serve children, youth, and families. Upon graduation, students may apply for provisional certification as a Family Life Educator and with additional work experience they can earn full certification.","[<Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n\t<li>The University requirement...'>]",,
"Bachelor of Arts,Hospitality Business",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=1312,,,,Undergraduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,"The undergraduate major in hospitality business blends hospitality business operations and fundamental areas such as accounting, finance, and marketing applied to hospitality business. Substantial work experience in the hospitality industry is required for hospitality business majors. Each student must complete 800 hours of work experience (400 hours in a Level 1. Internship and 400 hours in a Level 2. Internship). The internships must have the prior approval of the Student and Industry Resource Center Director. The Level 1. Internship must be completed prior to enrollment in Hospitality Business 307 and both internships Level  1. and Level 2.) must be completed prior to enrollment in Hospitality Business 489.,Students who are enrolled in the bachelor’s degree program in The School of Hospitality Business may elect the Minor in Hospitality Business Real Estate Investment Management.  For additional information, please refer to the , statement below or visit ,.  ,Students who are enrolled in the bachelor’s degree program in The School of Hospitality Business may elect the Minor in Food Processing and Technology.  For additional information, refer to the , statement in the , statement in the , section of this catalog.,Enrollment in The School of Hospitality Business is limited, and admission to the school is competitive. Students must apply for school admission by April 1 for a fall semester admission or by November 1 for a spring semester admission. Admission is based primarily on the cumulative grade-point average and grades in the core courses listed below.  Academic and non-academic factors and experiences will also be considered. Minimum criteria for admission to the school are:","[<Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n\t<li>Completion of 28 credits.<...'>, <Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n\t<li>The graduation requirement...'>]",,
"Bachelor of Arts,Human Geography",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=7729,,,,Undergraduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,,"[<Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n\t<li>The University requirement...'>]",,
"Doctor of Philosophy,Neuroscience - Doctor of Philosophy",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=7120,,,,Graduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,"The program provides an opportunity for doctoral students to acquire both a broad and in-depth knowledge of the function of the nervous system.  The program is designed to:,In addition to meeting the requirements of the university and of the College of Natural Science, students must meet the requirements specified below.,To be considered for admission to the Doctor of Philosophy degree program with a major in neuroscience, an applicant should have:,To be eligible for regular admission to the Doctor of Philosophy degree program with a major in neuroscience, an applicant must have:,The student must:,A detailed description of the Doctor of Philosophy degree program with a major in neuroscience and of the research interests of participating faculty may be obtained upon request from the Neuroscience Program Administrative Office, Giltner Hall, 293 Farm Lane, Room 108, Michigan State University, East Lansing, MI 48824-1317, or by visiting the Web site at  ,.","[<Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n\t<li>Make it possible for a doc...'>, <Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n\t<li>Completed a broad spectrum...'>, <Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n\t<li>Completed an undergraduate...'>]",,
"Bachelor of Arts,Human Capital and Society",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=7764,,,,Undergraduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,,"[<Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n\t<li>The University requirement...'>]",,
"Bachelor of Arts,Human Resource Management",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=1264,,,,Undergraduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,"Human resource management majors focus on the management of human resources in organizations: on the role and development of the manager as a leader, and on the mission and specific functions of the human resources department.,Courses in the human resource management major, augmented by offerings in psychology, sociology, and economics, prepare the student for two broadly defined career paths. The first, a general managerial orientation designed to build skills in analyzing and effectively dealing with individuals in the work place, concentrates on topics of motivation, organization design, leadership, and development of interpersonal skills. The second orientation provides techniques essential to successful careers in human resources management. It stresses selection and training techniques, human resources planning, compensation, labor relations, and training and evaluation. Neither area is exclusive and exposure to both is often suggested.,The graduation requirements of the University as described in the , section of this catalog; 120 credits, including general elective credits, are required for the Bachelor of Arts degree in Human Resource Management.,The completion of Mathematics 103 and 124 [referenced in item 2. below] may also satisfy the University mathematics requirement.,The University's Tier II writing requirement for the Human Resource Management major is met by completing Management 460.  That course is referenced in item 3. a. (1) below.,The requirements of The Eli Broad College of Business for the Bachelor of Arts degree in the majors that comprise the Business Administration Programs.,The following requirements for the major:, Students may elect to complete , than 3 of the courses that are listed in item 3.a.(2) above ,.",,,
"Bachelor of Science,Horticulture",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=0386,,,,Undergraduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,"Horticultural foods and food products, flowers and landscapes sustain and enrich our lives. Horticulture is the science and art concerned with the breeding, culture, production, marketing, and utilization of high–value intensively cultivated plants. Horticultural crops are diverse, including annual and perennial species, food, medicinal and ornamental crops, and plants grown outdoors and in controlled environments. The primary horticulture discipline areas include pomology (fruits), olericulture (vegetables), floriculture (ornamentals) and landscape horticulture.,Graduates with a major in horticulture enter a broad range of challenging and rewarding professional careers in production, management, marketing, education, consulting and service industries, including research in basic and applied plant science. In addition, graduates frequently become entrepreneurs or obtain employment in horticultural business enterprises (e.g., commercial production operations, landscape design/build and maintenance companies, nurseries, retail flower shops, or fruit and vegetable markets). Graduates may also pursue careers in nontraditional areas that require a knowledge of horticulture such as secondary education, the publication industry, or international development.,The study of horticulture at MSU is highly integrative, combining scientific and technical knowledge, and problem–solving skills for application in various professions related to horticulture. Students in horticulture combine diverse fundamental disciplines in physical science (chemistry), biological sciences (botany, genetics, physiology, entomology, and plant pathology), environmental science (soil science), with horticultural crop production, and business acumen (economics, management, and marketing). Communication and computer skills are also cultivated within the horticulture curriculum. Students complete one of three concentrations: Horticultural Science, Sustainable and Organic Horticulture, or Landscape Design, Construction, and Management. In all concentrations, students obtain hands–on experiences through exercises in the greenhouses, research laboratories, the horticulture gardens, or at the farms. Field trips expose students to successful horticultural businesses, industries, and support services within Michigan. Students gain professional work experience through internships, independent study, and part–time employment in research and extension programs within the Department of Horticulture.","[<Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n\t<li>The University requirement...'>]",,
"Bachelor of Arts,History",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=7605,,,,Undergraduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,,"[<Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n\t<li>The University requirement...'>]",,
"Bachelor of Arts,History Education",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=7717,,,,Undergraduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,,,,
"Bachelor of Science,History, Philosophy and Sociology of Science Major",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=3296,,,,Undergraduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,,,,
"Master of Science,Microbiology and Molecular Genetics - Master of Science",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=7043,,,,Graduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,"In general, qualified students will be admitted to graduate study leading directly to the Ph.D. degree in microbiology and molecular genetics.  Students who are enrolled in the professional programs in the colleges of Human Medicine, Osteopathic Medicine, and Veterinary Medicine, or in professional programs in other colleges, may pursue a graduate degree in microbiology and molecular genetics concurrently.,The objective of the graduate programs in microbiology and molecular genetics is to provide basic education in various subdisciplines of microbiology and intensive research experience in specialty areas relative to the student's interest.  In the master's program, students extend their comprehension of microbiology and cognate science through advanced course work, seminars, and research. The Doctor of Philosophy is a research–oriented degree; the emphasis is placed on original research, and the aim is to enable the student to become a self–educating and creative scholar. Facilities and opportunities are also available for postdoctoral associates. Financial subsidy is available for qualified applicants.,A new graduate student in microbiology and molecular genetics  is advised by the Director of Graduate Studies until a major professor is chosen.  This choice should be made by the end of the second semester of enrollment in the program.  The major professor assists the student in selecting a guidance committee.  The committee helps the student in planning a program of study.  The program must be approved by the end of the third semester of enrollment in the program.  A , is available from the department.  This manual contains a philosophy of graduate education and information about the department's master's and doctoral degree programs and related procedures.,Several members of the faculty of the Department of Microbiology and Molecular Genetics are appointed jointly in other departments or are affiliated with the NSF Science and Technology Center for Microbial Ecology or with the Michigan Biotechnology Institute.  Some members of the faculty contribute to interdepartmental graduate programs of study.,Scheduled courses and research are offered at the W. K. Kellogg Biological Station located at Gull Lake, near Battle Creek.  ,Most students admitted to the M.S. program in microbiology and molecular genetics  have the Ph.D. degree as their eventual goal.,In addition to meeting the requirements of the university and of the College of Natural Science, Human Medicine, Osteopathic Medicine, or Veterinary Medicine, students must meet the requirements specified below.,In general, applicants should have had the equivalent of two semesters each of physics, inorganic chemistry, and organic chemistry; one biochemistry course; mathematics through integral calculus; and one or more courses in the biological sciences. Applicants should have proficiency in written and spoken English, a minimum grade–point average of 3.00, and grades of 3.0 or above in science and mathematics courses. Scores on the Graduate Record Examination General Test are not required, however a personal letter of professional intent and objectives should be submitted. Although preparation in the fundamentals of microbiology is desirable, interested students with degrees in any of the physical or biological sciences or mathematics are invited to apply for admission to the program. Applicants not possessing all of the requirements may be admitted to the program provisionally and permitted to make up deficiencies on a collateral basis.,The student must complete 30 credits under Plan A (with thesis).  At least 5 credits of MMG 899 Master's Thesis Research is required.  The final oral examination, which covers both course work and thesis research, is administered by the student's guidance committee and a representative of the department Graduate Committee.  The examining committee recommends a grade for the thesis research and the advisability of further graduate study.  All master's students are required to participate in laboratory teaching, and are expected to attend departmental seminars.,Students may select from the following courses:, ",,,
"Doctor of Philosophy,Microbiology and Molecular Genetics - Doctor of Philosophy",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=7030,,,,Graduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,"In addition to meeting the requirements of the university and of the College of Natural Science, Human Medicine, Osteopathic Medicine, or Veterinary Medicine, students must meet the requirements specified below. , ,A student may apply for admission to the doctoral program in Microbiology and Molecular Genetics when the individual is about to earn or has earned a Bachelor of Science, Bachelor of Arts, Master of Science, or a professional medical degree. In general, applicants should have had the equivalent of two semesters each of physics, inorganic chemistry, and organic chemistry; one biochemistry course; mathematics through integral calculus; and one or more courses in the biological sciences. Applicants should have proficiency in written and spoken English, a minimum grade–point average of 3.00, and grades of 3.0 or above in science and mathematics courses. Scores on the Graduate Record Examination General Test and a personal letter of professional intent and objectives are required. Although preparation in the fundamentals of microbiology is desirable, interested students with degrees in any of the physical or biological sciences or mathematics are invited to apply for admission to the program. Applicants not possessing all of the requirements may be admitted to the program provisionally and permitted to make up deficiencies on a collateral basis.,The student must:,All doctoral students in microbiology and molecular genetics are required to participate in laboratory teaching, and are expected to attend departmental seminars.,Failure to pass the preliminary examination will result in dismissal from the program.","[<Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n    <li>Complete a minimum of f...'>]",,
"Bachelor of Fine Arts,Graphic Design",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=5772,,,,Undergraduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,,"[<Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n\t<li>have completed GD 360 and ...'>, <Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n\t<li>The University requirement...'>]",,
"Master of Science,Mechanical Engineering - Master of Science",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=2401,,,,Graduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,"In addition to meeting the requirements of the university and of the College of Engineering, students must meet the requirements specified below.  ,An applicant should possess a bachelor's degree in mechanical engineering or a related field.  ,The applicant must submit scores from the Graduate Record Examination General Test.,The student must complete a total of 30 credits for the degree under either Plan A (with thesis) or Plan B (without thesis) and meet the requirements  specified below:,The student must:,The student must:,The student must complete at least 22 credits in courses at the 800–900 level., ","[<Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n    <li>Complete at least one c...'>, <Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n    <li>Complete at least 20 cr...'>]",,
"Master of Science,Mathematics Education - Master of Science",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=7068,,,,Graduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,"The Master of Science Degree in Mathematics Education prepares researchers and leaders to address critical issues in mathematics education by developing analytical perspectives on current issues in mathematics education.,In addition to meeting the requirements of the university, students must meet the requirements specified below.,The program admits students with a variety of backgrounds. Some students will have equally strong backgrounds in education and mathematics. Others may have more extensive prior preparation in one of these two disciplines.,Admissions decisions will be made by an Admissions Committee composed of members of the Mathematics Education Faculty Group. ,The student must complete 30 credits for the degree. The program is available only under Plan B (without thesis). The student’s program of study must be approved by the student’s academic advisor and must include:",,,
"Bachelor of Science,Human Biology",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=3969,,,,Undergraduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,"The human biology major, which leads to the Bachelor of Science degree, is designed for persons who want a broad background in fields that comprise biological sciences and who want to understand the interrelationships among such fields.  This program is for persons who plan to pursue careers in the health care professions and for students who are interested in the biological sciences, but are not interested in a teaching option.","[<Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n\t<li>The University requirement...'>]",,
"Doctor of Philosophy,Measurement and Quantitative Methods - Doctor of Philosophy",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=2251,,,,Graduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,"The doctoral program in measurement and quantitative methods is designed for persons who hope to develop and investigate methods of assessment and quantitative analysis, as well as for individuals who wish to become experts in the application and use of such methods. Graduates may teach courses in educational measurement, statistics, and program evaluation in colleges and universities and are often involved in research on problems of measurement and quantitative methods. Graduates also occupy leadership positions in educational, governmental, and other agencies concerned with educational measurement, statistics, and program evaluation. Students in the program learn to analyze research data and have opportunities to design and execute research studies and to consult on research design, data analysis, and evaluation. Students may develop and evaluate new statistical and psychometric models for use in educational research and behavioral science.,Applications for admission to the program are reviewed by faculty who look for indications of a high probability of success.  Such indications include a high level of academic performance, a high score on the Graduate Record Examination General Test, and a statement of professional goals that is consistent with the objectives of the program.  The applicant must submit three letters of recommendation, including at least one letter of recommendation from a professor or employer.,The applicant is required to submit supplemental documents and information as determined by the program, as well as the university application.,Persons are admitted to the program for fall semester only. The deadline for submitting applications is December 1 of each year for admission the following fall semester. If space is available, late applications may be considered.,In addition to meeting the requirements of the university and of the College of Education, students must meet the requirements specified below.,The student’s program plan of course work must fulfill the requirements described below. In addition to completing the required course work, students should participate in measurement and quantitative methods seminars and satisfy the College of Education breadth requirements which require basic knowledge in at least four of the following areas of general professional education: administration; curriculum; psychological foundations; research and evaluation methods; social, philosophical, and historical foundations; motor development and motor learning; biological foundations; ethical considerations; and issues of diversity in education.",,,
"Master of Arts,Media and Information - Master of Arts",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=6317,,,,Graduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,"Admission is determined by an evaluation of information regarding the applicant's academic record, goals and interests, experience, personal references, scores on the General Test of the Graduate Record Examination (GRE), and other materials submitted as indicators of intellectual promise.,A bachelor's degree is required. As an interdisciplinary program, multiple backgrounds are suitable for admission to this program. Although evidence other than grades influences the admission decision, the department uses the following guideline: students whose grade–point averages for the third and fourth years of undergraduate study are 3.25 or better are admitted to regular status. Students whose grade–point averages are below 3.25 may be admitted to provisional status. Students whose grade–point averages are below 3.00 are rarely admitted.,Students may enter the program either during fall or the spring semester. However, it is highly recommended that students start their program in the fall. Additional current information may be obtained from the department’s Web site , or the Director of M.A. Studies.,A minimum of 30 credits is required for the master’s degree in media and information under either Plan A (with thesis) or Plan B (without thesis).The student's program of study must be approved by the student's academic advisor and the Director of Graduate Studies.",,,
"Doctor of Philosophy,Mechanical Engineering - Doctor of Philosophy",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=2402,,,,Graduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,"In addition to meeting the requirements of the university and of the College of Engineering, students must meet the requirements specified below.,The applicant must submit scores from the Graduate Record Examination General Test.,In addition to meeting the requirements of the university and the College of Engineering, students must meet the requirements specified by their guidance committees., ",,,
